Date of Demolition;Locality;District;Area;Housing Units;People left Homeless;Minors left Homeless;Type Of Sturcture
28/12/23;Qabalan;Nablus;west-bank;1;0;0;Non Resedential
28/12/23;Qabalan;Nablus;west-bank;1;3;1;Residental
27/12/23;al-Jawaya;Hebron;west-bank;2;7;4;Residental
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;7;4;Residental
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;2;0;Residental
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;5;1;Residental
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;6;0;Residental
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;0;0;Non Resedential
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;0;0;Non Resedential
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;0;0;Residental
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;5;3;Residental
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;0;0;Residental
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;0;0;Non Resedential
26/12/23;Furush Beit Dajan;Nablus;west-bank;1;3;1;Residental
21/12/23;'Aqraba;Nablus;west-bank;1;3;1;Residental
21/12/23;'Aqraba;Nablus;west-bank;3;0;0;Non Resedential
21/12/23;'Aqraba;Nablus;west-bank;2;0;0;Non Resedential
21/12/23;'Aqraba;Nablus;west-bank;1;6;4;Residental
21/12/23;'Aqraba;Nablus;west-bank;1;6;4;Residental
21/12/23;'Aqraba;Nablus;west-bank;2;0;0;Non Resedential
21/12/23;'Aqraba;Nablus;west-bank;1;0;0;Non Resedential
21/12/23;'Aqraba;Nablus;west-bank;2;0;0;Non Resedential
21/12/23;'Aqraba;Nablus;west-bank;1;6;4;Residental
21/12/23;'Aqraba;Nablus;west-bank;4;0;0;Non Resedential
21/12/23;'Aqraba;Nablus;west-bank;1;5;3;Residental
20/12/23;Ni'lin;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
20/12/23;Ni'lin;Ramallah and al-Bira;west-bank;1;0;0;Non Resedential
20/12/23;Kh. 'Allan;Jericho;west-bank;1;0;0;Residental
13/12/23;Yatta;Hebron;west-bank;3;0;0;Non Resedential
13/12/23;Yatta;Hebron;west-bank;2;12;6;Residental
12/12/23;'Anata;al-Quds;west-bank;8;0;0;Non Resedential
11/12/23;Bani Na'im;Hebron;west-bank;1;0;0;Residental
6/12/23;Hizma;al-Quds;west-bank;2;0;0;Non Resedential
6/12/23;Hizma;al-Quds;west-bank;1;0;0;Non Resedential
6/12/23;al-Khader;Bethlehem;west-bank;1;0;0;Non Resedential
6/12/23;al-Khader;Bethlehem;west-bank;2;0;0;Non Resedential
6/12/23;al-Khader;Bethlehem;west-bank;1;6;3;Residental
6/12/23;Kh. Um Qusah;Hebron;west-bank;1;10;6;Residental
6/12/23;Kh. Um Qusah;Hebron;west-bank;3;0;0;Non Resedential
6/12/23;Kh. Um Qusah;Hebron;west-bank;1;8;6;Residental
6/12/23;Kh. Um Qusah;Hebron;west-bank;3;0;0;Non Resedential
6/12/23;Kh. Um Qusah;Hebron;west-bank;1;4;2;Residental
5/12/23;Kh. Um Qusah;Hebron;west-bank;3;0;0;Non Resedential
5/12/23;Kh. Um Qusah;Hebron;west-bank;1;13;7;Residental
28/11/23;Um Lasafa;Hebron;west-bank;1;5;3;Residental
28/11/23;a-Deirat;Hebron;west-bank;1;5;3;Residental
28/11/23;Bani Na'im;Hebron;west-bank;1;6;4;Residental
28/11/23;She'b al-Batem;Hebron;west-bank;1;5;3;Residental
27/11/23;Khalet al-Furn;Hebron;west-bank;5;0;0;Non Resedential
20/11/23;a-Za'ayem;al-Quds;west-bank;6;4;2;Residental
16/11/23;Wadi Fukin;Bethlehem;west-bank;5;1;1;Residental
16/11/23;Wadi Fukin;Bethlehem;west-bank;1;0;0;Residental
16/11/23;Wadi Fukin;Bethlehem;west-bank;1;0;0;Non Resedential
14/11/23;Shuqba;Ramallah and al-Bira;west-bank;1;8;1;Residental
8/11/23;Kh. al-Maleh (Hamamat al-Maleh);Tubas;west-bank;1;0;0;Residental
